area,dispatch_zone,slot_position
N15-7,WIRE,FRONT
N15-8,WIRE,FRONT
N16-1,WIRE,FRONT
N16-2,WIRE,FRONT
N16-3,WIRE,FRONT
N16-4,WIRE,FRONT
N16-5,WIRE,FRONT
N16-6,WIRE,FRONT
N16-7,WIRE,FRONT
N16-8,WIRE,REAR
N17-1,WIRE,REAR
N17-2,WIRE,REAR
N17-3,WIRE,REAR
N17-4,WIRE,REAR
N17-5,WIRE,REAR
N17-6,WIRE,REAR
N17-7,WIRE,REAR
N17-8,WIRE,REAR
N18-1,WIRE,REAR
N18-2,WIRE,REAR
N18-3,WIRE,REAR
N18-4,WIRE,REAR
N18-5,WIRE,REAR
N18-6,WIRE,REAR
N18-7,WIRE,REAR
N18-8,WIRE,FRONT
N19-1,WIRE,FRONT
N19-2,WIRE,FRONT
N19-3,WIRE,FRONT
N19-4,WIRE,FRONT
N19-5,WIRE,FRONT
N19-6,WIRE,FRONT
N19-7,WIRE,FRONT
N19-8,WIRE,FRONT
N20-1,WIRE,FRONT
N20-2,WIRE,FRONT
N20-3,WIRE,FRONT
N20-4,WIRE,FRONT
N20-5,WIRE,FRONT
N20-6,WIRE,FRONT
N20-7,WIRE,FRONT
N20-8,WIRE,REAR
N21-1,WIRE,REAR
N21-2,WIRE,REAR
N21-3,WIRE,REAR
N21-4,WIRE,REAR
N21-5,WIRE,REAR
N21-6,WIRE,REAR
N21-7,WIRE,REAR
N21-8,WIRE,REAR
N22-1,WIRE,REAR
N22-2,WIRE,REAR
N22-3,WIRE,REAR
N22-4,WIRE,REAR
N22-5,WIRE,REAR
N22-6,WIRE,REAR
N22-7,WIRE,REAR
N22-8,WIRE,FRONT
N23-1,WIRE,FRONT
N23-2,WIRE,FRONT
N23-3,WIRE,FRONT
N23-4,WIRE,FRONT
N23-5,WIRE,FRONT
N23-6,WIRE,FRONT
N23-7,WIRE,FRONT
